Species,Body mass (kg),Brain mass (g),Log10 Body mass (kg),Log10 Brain mass (g)
rainbow skink,0.00156,0.0208,-2.806875402,-1.681936665
 Italian three-toed skink,0.0188,0.0555,-1.725842151,-1.255707017
Morocco cylindrical skink,0.0064,0.03,-2.193820026,-1.522878745
coastal snake-eyed skink,0.00141,0.017,-2.850780887,-1.769551079
bar-shouldered skink,0.011,0.0623,-1.958607315,-1.205511953
Cunningham's spiny-tailed skink,0.246,0.3122,-0.609064893,-0.505567101
tree-crevice skink,0.0364,0.166,-1.438898616,-0.779891912
littoral whiptail-skink,0.01314,0.0847,-1.881404635,-1.07211659
De Vis's emo skink,0.00305,0.0339,-2.515700161,-1.469800302
narrow-banded sand-swimmer skink,0.0105,0.0462,-1.978810701,-1.335358024
white-striped cape skink,0.053,0.1592,-1.27572413,-0.798056937
four-toed earless skink,0.00129,0.0105,-2.88941029,-1.978810701
common green tree skink,0.01125,0.056,-1.948847478,-1.251811973
sandfish skink,0.03549,0.116,-1.449894001,-0.935542011
Indonesian blue-tongued skink,0.532,0.498,-0.274088368,-0.302770657
Centralian blue-tongued skink,0.4045,0.4078,-0.393081474,-0.389552779
South American ground lizard,0.0271,0.231,-1.567030709,-0.63638802
Water dragon,0.0503,0.318,-1.298432015,-0.49757288
gold tegu,1.034,1.563,0.014520539,0.193958978
checkerboard worm lizard,0.0065,0.021,-2.187086643,-1.677780705
spiny-tailed monitor,0.212,0.278,-0.673664139,-0.555955204
pygmy mulga monitor,0.021,0.107,-1.677780705,-0.970616222
desert monitor,0.2542,0.722,-0.594824454,-0.141462802
Nile monitor,7.5,2.44,0.875061263,0.387389826
emerald tree monitor,0.249,0.594,-0.603800653,-0.226213555
crocodile monitor,2.65,2.402,0.423245874,0.380573003
Boa constrictor,3.1445,0.5445,0.497551599,-0.264002116
Coluber constrictor,0.431,0.291,-0.36552273,-0.536107011
western whip snake,0.255623,0.2033,-0.592400073,-0.691862621
Southern smooth snake,0.117,0.088,-0.931814138,-1.055517328
Aesculapian snake,0.1482,0.168,-0.829151796,-0.774690718
viperine water snake,0.05698,0.079,-1.244277555,-1.102372909
ringed snake,0.085044,0.1115,-1.070356321,-0.952725133
green water snake,0.22,0.209,-0.657577319,-0.679853714
common garter snake,0.0545,0.1,-1.263603498,-1
forest cobra,1.77,0.646,0.247973266,-0.189767482
Python,6.14,1.123,0.788168371,0.050379756
semiaquatic pit viper,0.728,0.64,-0.137868621,-0.193820026
Sahara sand vipe,0.0621,0.076,-1.2069084,-1.119186408
asp viper,0.0713,0.102,-1.14691047,-0.991399828
common European viper,0.0642,0.105,-1.192464972,-0.978810701
komodo dragon,85,8.24,1.929,0.915927212
