Fast Food Restaurant,Item,Type,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
Hardee's,Big Chicken Fillet Sandwich,Breaded Chicken Sandwich,329,750,42,8,,1490,63,11,32
Hardee's,3 Piece Hand-Breaded Chicken Tenders,Chicken Nuggets,128,260,13,2.5,,770,13,0,25
Hardee's,Natural Cut French Fries - Small,French Fries,126,360,18,3,,730,47,0,4
Hardee's,Hand Scooped Ice-Cream Shake,Milkshake,397,710,33,24,,240,87,73,14
White Castle,Double Bacon Cheese Slider,Burger,121,400,27,12,1,1220,21,2,21
White Castle,Chicken Ring Slider,Breaded Chicken Sandwich,92,380,30,7,0,460,16,2,10
White Castle,Savory Grilled Chicken Slider,Grilled Chicken Sandwich,88,180,7,1.5,0,570,13,2,15
White Castle,6 Chicken Rings,Chicken Nuggets,143,530,47,9,0,610,12,0,18
White Castle,Small French Fries,French Fries,148,330,21,4,0,50,32,2,3
White Castle,Chocolate Milk Shake (Chicago Region) 21oz,Milkshake,450,550,10,5.5,0,330,106,90,12
Whataburger,Double Meat Whataburger,Burger,400,830,44,14,2,1470,62,12,47
Whataburger,Grilled Chicken Sandwich,Breaded Chicken Sandwich,278,430,13,3,0,1040,49,13,35
Whataburger,Whatachick'n® Sandwich,Grilled Chicken Sandwich,285,560,22,4,0,1050,69,14,29
Whataburger,Whatachick'n® Strips 2 Piece,Chicken Nuggets,183,370,20,4,0,1050,31,1,17
Whataburger,French Fries (Small),French Fries,85,280,14,2,0,170,35,0,3
Whataburger,Chocolate Shake 16 oz,Milkshake,343,430,9,6,0,400,79,77,8
